judul,topik,sub_topik,topik_pilihan,tanggal_waktu_publish,redaksi,advetorial,isi_berita,link
"Profil Supian Suri: Berpuluh Tahun Jadi Pejabat Pemerintahan, Kini Maju Pilkada Depok 2024",News,Megapolitan,Pilkada 2024,2024-09-09 08:10:00,"Dinda Aulia Ramadhanty, Fitria Chusna Farisa",Non Advertorial,"DEPOK, KOMPAS.com - Sosok Supian Suri turut berlaga pada kontestasi Pemilihan Kepala Daerah (Pilkada) Depok 2024 sebagai bakal calon wali kota. Supian maju bersama calon wali kota pendampingnya, Chandra Rahmansyah. Pasangan calon (Paslon) ini resmi mendaftarkan diri sebagai bakal calon wali kota dan wakil wali kota ke Komisi Pemilihan Umum (KPU) Kota Depok pada Kamis (29/8/2024). Supian dan Chandra diusung dan didukung oleh 12 partai yang tergabung dalam Koalisi Perubahan Depok Maju. Kedua belas partai itu adalah Partai Gerindra, PDI Perjuangan, Partai Keadilan Bangsa (PKB), Partai Demokrat, Partai Persatuan Pembangunan (PPP), Partai Nasdem, Partai Amanat Nasional (PAN), Partai Gelora, Partai Perindo, Partai Ummat, Partai Buruh, dan Partai Solidaritas Indonesia (PSI). Baca juga: Supian-Chandra dan Imam-Ririn Lolos Tes Kesehatan Pilkada Depok 2024 Berdasarkan data yang diperoleh Kompas.com, Supian Suri lahir di Bogor, 27 Februari 1973. Selengkapnya, berikut ini profil Supian Suri. Supian berpuluh tahun bekerja di pemerintahan Kota Depok. Namanya sudah muncul di berbagai titel birokrasi Kota Depok sejak ia berusia 27 tahun. Karier Supian dimulai tahun 2002 sebagai Sekretaris Lurah Mekarjaya, Kecamatan Sukmajaya, Kota Depok.  Tiga tahun menjabat, Supian kemudian memangku jabatan sebagai Kasubag Protokol pada Bagian Humas dan Protokol Setda Kota Depok tahun 2005. Setelah itu, Supian Suri terus menerus mendaki berbagai jabatan pemerintahan hingga dipercaya sebagai Sekretaris Daerah Kota Depok pada 2021. Berikut posisi dan jabatan Supian selama berkecimpung di pemerintah Kota Depok: Memutuskan maju Pilkada 2024, Supian mengajukan Cuti Luar Tanggungan Negara (CLTN) sebagai Sekda Kota Depok sejak awal Juni 2024. Supian memiliki latar belakang pendidikan beragam. Pada 1999, ia menempuh pendidikan D4 Ilmu Pemerintahan di Sekolah Tinggi Pemerintahan Dalam Negeri. Lalu, ia melanjutkan pendidikan S1 Keuangan Daerah di Institut Ilmu Pemerintahan pada 2002. Kemudian, tahun 2008 ia menempuh S2 Ilmu Manajemen di Sekolah Tinggi Manajemen IMMI. Belum lama ini, Supian menyelesaikan pendidikan S3 Pemerintahan di Institut Pemerintahan Dalam Negeri (IPDN). Studi ini ditempuh Supian sejak tahun 2019. Baca juga: Serba-serbi Tes Kesehatan Supian-Chandra dan Imam-Ririn untuk Pilkada Depok",https://megapolitan.kompas.com/read/2024/09/09/08104941/profil-supian-suri-berpuluh-tahun-jadi-pejabat-pemerintahan-kini-maju
"Prakiraan Cuaca Batam Hari Ini Senin, 9 September 2024: Siang Ini Hujan Ringan",Regional,Belum ditentukan,Bukan topik pilihan,2024-09-09 08:08:00,Dini Daniswari,Non Advertorial,"Batam, KOMPAS.com - Halaman ini memuat informasi prakiraan cuaca, Batam, Kepulauan Riau, untuk hari ini Senin, 9 September 2024. Silahkan simpan halaman ini untuk mengetahui prakiraan cuaca Batam. Jangan keluar rumah sebelum Anda baca artikel ini. Data Prakiraan cuaca diambil dari BMKG.go.id. Di Indonesia, informasi prakiraan cuaca setiap daerah dikeluarkan oleh Badan Meteorologi, Klimatologi, dan Geofisika (BMKG). Baca juga: Prakiraan Cuaca Batam Hari Ini Minggu, 8 September 2024: Siang Ini Hujan Ringan Setiap pagi, kita bisa melihat informasi prakiraan cuaca yang dikeluarkan BMKG. Prakiraan cuaca dilakukan oleh seorang forecaster (prakirawan cuaca). Pembuatan prakiraan cuaca juga dibantu dengan teknologi pemodelan prediksi cuaca berbasis komputer yakni model Numerical Weather Prediction (NMP). Sumber: www.bmkg.go.id  ",https://regional.kompas.com/read/2024/09/09/080817978/prakiraan-cuaca-batam-hari-ini-senin-9-september-2024-siang-ini-hujan
"E-meterai Eror, Ombudsman Minta Pemerintah Perbaiki Sistem Pembelian",News,Nasional,Bukan topik pilihan,2024-09-09 08:23:00,"Haryanti Puspa Sari, Dani Prabowo",Non Advertorial,"JAKARTA, KOMPAS.com - Ombudsman RI meminta pemerintah menjelaskan kendala akses pembelian e-meterai pada masa pendaftaran seleksi Calon Pegawai Negeri Sipil (CPNS) 2024. Selain itu, pemerintah juga perlu mengkaji ulang dan memperbaiki sistem pengadaan, distribusi, dan pembelian e-meterai agar kompatibel dengan skema bisnis dan kemudahan akses distribusinya. ""Keluhan calon peserta seleksi CPNS terkait kelangkaan e-meterai dan sulitnya akses perlu mendapatkan penjelasan dari pemerintah. Selain itu, Ombudsman meminta pemerintah mereviu dan memperbaiki sistem pengadaan e-meterai hingga distribusinya,"" kata anggota Ombudsman RI Robert Na Endi Jaweng dalam keterangan tertulis, Senin (9/9/2024). Baca juga: Cara Refund e-Meterai bagi Pelamar CPNS 2024 dan Ketentuannya Robert mengatakan, e-meterai menjadi salah satu syarat yang diwajibkan bagi pelamar CPNS 2024 untuk dibubuhkan pada dokumen persyaratan. Namun, kewajiban ini tidak dibarengi dengan persediaan e-meterai dan kemudahan akses. Dalam beberapa hari terakhir terjadi kelangkaan kuota e-meterai dan sulitnya mengakses website mitra distribusi. Permasalahan ini akhirnya membuat Panselnas memperpanjang batas akhir pendaftaran yang semula 6 September 2024 menjadi 10 September 2024. ""Kelangkaan e-meterai pada gerai-gerai penjualan menjadi keluhan peserta dalam melengkapi dokumen yang dipersyaratkan. Hal ini disebabkan salah satunya, PT Peruri hanya berwenang dalam pengadaan namun tidak bisa menjual langsung ke publik,"" ujarnya. Robert mengatakan, penjualan e-meterai hanya bisa dilakukan oleh distributor. Distributor dapat membeli e-materai dengan melakukan transaksi pembayaran melalui Direktorat Jenderal Pajak (DJP) Kementerian Keuangan. Baca juga: Cara Pembubuhan e-Meterai di Dokumen CPNS 2024 Setelah tahapan transaksi selesai, PT Peruri mengirimkan e-meterai kepada pihak distributor sesuai dengan jumlah yang dibelanjakan. Terakhir, Ombudsman menemukan bahwa distribusi e-meterai diselenggarakan oleh 26 distributor. Namun hanya ada 10 distributor yang aktif melakukan penjualan kepada masyarakat umum. ""Permintaan yang sangat tinggi akan e-meterai terjadi menjelang akhir pendaftaran CASN tahun 2024 memerlukan langkah antisipasi oleh PT Peruri yakni peningkatan produksi e-meterai dan kapasitas ruang server,"" ucap dia. Sebelumnya, media sosial diramaikan keluhan pelamar calon pegawai negeri sipil (CPNS) 2024 soal layanan pembelian e-meterai error sejak Selasa (3/9/2024). Gangguan tidak hanya terjadi di website e-meterai Peruri saja, tetapi juga website resmi lain, di antaranya skillacademy.com, materai.id, e-meterai.ive, bahkan pembelian di gerai Kantor Pos Indonesia. Baca juga: Efek Domino Gangguan Layanan E-Meterai Tak hanya masalah website error, para pelamar CPNS juga mengeluhkan terkait proses pembubuhan yang lama dan kuota e-meterai yang tidak bertambah meski sudah membayar. Hal itu menjadi persoalan, karena pelamar harus mengunggah dokumen pendaftaran CPNS yang dibubuhi e-meterai sebelum ditutup pada 6 September 2024. Menanggapi keluhan tersebut, melalui akun instagram resminya, Peruri menyampaikan penyebab website mengalami gangguan karena terjadi peningkatan traffic.",https://nasional.kompas.com/read/2024/09/09/08234131/e-meterai-eror-ombudsman-minta-pemerintah-perbaiki-sistem-pembelian
"Penjualan Motor Januari-Agustus 2024 Tembus 4,3 Juta Unit",Otomotif,News,Bukan topik pilihan,2024-09-09 08:22:00,"Dio Dananjaya, Agung Kurniawan",Non Advertorial,"JAKARTA, KOMPAS.com – Volume penjualan sepeda motor di Indonesia mencapai 573.886 unit pada Agustus 2024. Angka ini minus 4,1 persen dibanding Juli 2024 (month-to-month/mtm) yang penjualannya meraih 598.844 unit. Dilansir dari situs resmi Asosiasi Industri Sepeda Motor Indonesia (AISI) (9/9/2024), penjualan motor pada Januari-Agustus 2024 telah mencapai 4.343.781 unit. Angka tersebut naik tipis dibandingkan perolehan periode yang sama tahun lalu sebanyak 4.211.737 unit, atau naik 3,1 persen. Baca juga: Segini Gaji Minimal buat Kredit Toyota Fortuner Facelift Dok. YIMM Yamaha Fazzio dan Grand Filano pada booth Yamaha di ajang Jakarta Fair 2024 Melihat segmentasinya, motor skutik masih mendominasi penjualan pada Juli 2024 dengan komposisi 90,14 persen. Sedangkan Underbone atau motor bebek berkontribusi sebesar 5,37 persen, naik dari sebelumnya 5,22 persen. Kemudian, motor Sport turun sedikit menjadi 4,49 persen, dari sebelumnya 4,52 persen. Di tengah penurunan kondisi ekonomi, Asosiasi Industri Sepeda Motor Indonesia (AISI) tampaknya optimistis penjualan motor mencapai target pada tahun ini. Baca juga: Waspada Macet, Ada Perbaikan Tol Jakarta-Tangerang sampai Minggu Depan  “Tahun ini kami sudah pasang target 6,2 juta sampai 6,5 juta unit,"" ujar Sigit Kumala, Ketua Bidang Komersial AISI, kepada Kompas.com beberapa waktu lalu. ""Jadi harapannya masih bisa meningkat karena kami lihat dengan leasing, tingkat kemacetannya enggak terlalu tinggi,” kata dia.",https://otomotif.kompas.com/read/2024/09/09/082200615/penjualan-motor-januari-agustus-2024-tembus-4-3-juta-unit
"Ke Aceh, Presiden Bakal Buka PON hingga Resmikan Jalan Tol",News,Nasional,Bukan topik pilihan,2024-09-09 08:28:00,"Fika Nurul Ulya, Dani Prabowo",Non Advertorial,"JAKARTA, KOMPAS.com - Presiden Joko Widodo melanjutkan kegiatan kunjungan hari kedua dengan bertolak menuju Provinsi Aceh, Senin (9/9/2024). Ia didampingi oleh Ibu Negara Iriana Joko Widodo. Pesawat Kepresidenan Indonesia-1 yang membawa Presiden Jokowi dan rombongan lepas landas dari Bandara Internasional Aji Pangeran Tumenggung, Kota Samarinda, sekitar pukul 08.00 WITA. Setibanya di Bandara Internasional Sultan Iskandar Muda, Kabupaten Aceh Besar, Jokowi dan Iriana langsung menuju Gerbang Tol Baitussalam. Deputi Bidang Protokol, Pers, dan Media Sekretariat Presiden Yusuf Permana mengatakan, Presiden akan meresmikan sejumlah ruas jalan tol Sigli-Banda Aceh. Baca juga: Pesan Jokowi ke Faldo Maldini: Tak Usah Kampanye Besar, Blusukan Saja ke Kampung-kampung ""Selanjutnya, Presiden dan rombongan akan menuju Stadion H. Dimurthala, Kota Banda Aceh, untuk meresmikan rehabilitasi, renovasi dan pembangunan venue Pekan Olahraga Nasional (PON) XXI di Provinsi Aceh,"" kata Yusuf dalam siaran pers Sekretariat Presiden, Senin. Usai peresmian pembangunan, ia pun akan menuju Rumah Sakit Umum Daerah (RSUD) dr. Zainoel Abidin, Kota Banda Aceh, untuk meninjau fasilitas dan pelayanan kesehatannya. Adapun pada malam hari, ia dan Iriana diagendakan untuk menghadiri peresmian Pembukaan PON XXI Tahun 2024 yang digelar di Stadion Harapan Bangsa, Kota Banda Aceh. Setelahnya, Jokowi dan rombongan akan bertolak menuju Provinsi Sumatera Utara untuk kembali melanjutkan kegiatan kunjungan kerjanya. Baca juga: Jokowi Buka MTQ Nasional Ke-30, Istimewa dan Sarat Inovasi Digital  Turut mendampingi Jokowi dan Iriana dalam penerbangan menuju Provinsi Aceh adalah Komandan Paspampres Mayjen TNI Achiruddin dan Plh. Sekretaris Militer Presiden Brigjen TNI Heri Purwanto.",https://nasional.kompas.com/read/2024/09/09/08281841/ke-aceh-presiden-bakal-buka-pon-hingga-resmikan-jalan-tol
"Prakiraan Cuaca Tulungagung Hari Ini Senin, 9 September 2024: Siang Ini Berawan",Regional,Belum ditentukan,Bukan topik pilihan,2024-09-09 08:27:00,Dini Daniswari,Non Advertorial,"Tulungagung, KOMPAS.com - Halaman ini memuat informasi prakiraan cuaca, Tulungagung, Jawa Timur, untuk hari ini Senin, 9 September 2024. Silahkan simpan halaman ini untuk mengetahui prakiraan cuaca Tulungagung. Jangan keluar rumah sebelum Anda baca artikel ini. Data Prakiraan cuaca diambi dari BMKG.go.id. Di Indonesia, informasi prakiraan cuaca setiap daerah dikeluarkan oleh Badan Meteorologi, Klimatologi, dan Geofisika (BMKG). Baca juga: Prakiraan Cuaca Tulungagung Hari Ini Minggu, 8 September 2024: Siang Ini Hujan Ringan Setiap pagi, kita bisa melihat informasi prakiraan cuaca yang dikeluarkan BMKG. Prakiraan cuaca dilakukan oleh seorang forecaster (prakirawan cuaca). Pembuatan prakiraan cuaca juga dibantu dengan teknologi pemodelan prediksi cuaca berbasis komputer yakni model Numerical Weather Prediction (NMP). Sumber: www.bmkg.go.id  ",https://regional.kompas.com/read/2024/09/09/082743778/prakiraan-cuaca-tulungagung-hari-ini-senin-9-september-2024-siang-ini
Mobil yang Dipakai Paus Fransiskus Saat Kunjungi Indonesia Jadi Milik Kedutaan Besar Vatikan,News,Megapolitan,Paus Fransiskus ke Indonesia,2024-09-09 08:26:00,"Ruby Rachmadina, Fitria Chusna Farisa",Non Advertorial,"JAKARTA, KOMPAS.com - Mobil Toyota Kijang Innova Zenix yang digunakan Paus Fransiskus saat berkunjung ke Indonesia menjadi milik Kedutaan Besar Vatikan. Koordinator Acara dan Nonliturgi Perayaan Ekaristi, Muliawan Margadana mengatakan, mobil tersebut tidak boleh diperjualbelikan. “Memang itu tidak boleh diperjualbelikan, tidak boleh menjadi ikon tertentu. Apa pun begitu, sehingga itu nanti akan resmi menjadi milik kedutaan besar,” ujar Muliawan dalam wawancara eksklusif dengan Direktur Pemberitaan Tribun Network Febby Mahendra Putra, Jumat (6/9/2024). Baca juga: Paus Fransiskus Pilih Mobil Maung Terbuka untuk Menyapa Umat Katolik saat Misa Akbar di GBK Muliawan bercerita, mulanya, panitia menyediakan beberapa opsi kendaraan untuk digunakan Paus Fransiskus selama kunjungan ke Indonesia.  Namun, setelah mempertimbangkan berbagai faktor, termasuk kenyamanan dan spesifikasi teknis, akhirnya dipilih Toyota Kijang Innova Zenix. “Jadi, misalnya ada satu mobil pilihan seperti mini Alphard dan sebagainya. Tapi kacanya tidak bisa diturunkan sampai bawah, soal yang lain misalnya ketinggian, Bapak Suci agak kesulitan. Sehingga, sampai di mana banyak dipakai oleh masyarakat Indonesia dan juga hybrid,” ujarnya. Selain itu, Vatikan juga menetapkan sejumlah syarat khusus terkait kendaraan yang digunakan Paus selama melakukan kunjungan ke Indonesia. Mobil yang dipilih haruslah sederhana, tanpa perlindungan antipeluru, dan tidak boleh menggunakan kaca film agar jendela tetap transparan. ""Sejak awal memang sudah mengatakan harus terbuka, tidak mau menggunakan armoured car (mobil antipeluru), mobilnya harus sederhana, kaca filmnya tidak boleh pakai, harus clear,"" ungkap Muliawan. Adapun Paus Fransiskus berkunjung ke Indonesia pada Selasa hingga Jumat, 3-6 September 2024.  Paus bernama asli Jorge Mario Bergoglio itu menjalani berbagai agenda. Paus sempat bertemu Presiden Joko Widodo di Istana, menyambangi Gereja Katedral, dan melakukan pertemuan lintas agama di Masjid Istiqlal. Pada Kamis (5/9/2024), Paus memimpin misa akbar yang digelar di Stadion Utama Gelora Bung Karno, Senayan, Jakarta Pusat.  Baca juga: Paus Fransiskus Gunakan Mobil Terbuka Sesuai Permintaan Vatikan Saat Misa Akbar di GBK",https://megapolitan.kompas.com/read/2024/09/09/08262481/mobil-yang-dipakai-paus-fransiskus-saat-kunjungi-indonesia-jadi-milik
"Faldo Maldini: Gibran Itu Jago, Jangan Remehkan Orang Menang Pemilu",News,Megapolitan,Bukan topik pilihan,2024-09-09 08:51:00,"Intan Afrida Rafni, Fitria Chusna Farisa",Non Advertorial,"TANGERANG, KOMPAS.com - Bakal calon wali kota Tangerang, Faldo Maldini memuji wakil presiden RI terpilih, Gibran Rakabuming Raka, terkait caranya blusukan. Menurutnya, putra sulung Presiden Joko Widodo atau Jokowi itu tidak bisa diremehkan karena sangat piawai merebut hati masyarakat. ""(Gibran) Jago, makanya jadi wapres (wakil presiden). Jangan remehkan orang yang menang pemilu,"" ujar Faldo dalam program Gaspol! Kompas.com, Jumat (6/9/2024). Faldo bercerita, dirinya pernah blusukan bersama Gibran di Kota Tangerang, Selasa (30/7/2024). Dari situ, Faldo melihat kelihaian Gibran berkomunikasi dan mendengarkan keluhan warga.  Baca juga: Pesan Jokowi ke Faldo Maldini: Tak Usah Kampanye Besar, Blusukan Saja ke Kampung-kampung Saat itu, Gibran menyapa seorang ibu yang memiliki masalah dengan Kartu Indonesia Sehat (KIS). Menurut Faldo, cara yang digunakan Gibran itu sangat baik karena langsung menanyakan inti permasalahan yang dirasakan warga. ""Kan kalau saya kadang-kadang langsung solusinya, 'tolong tim bantu ibu ini', kan salah,"" kata Faldo. ""Justru model-modelnya itu yang lebih problematik, yang Mas Gibran ajari,"" tambah dia. Selain itu, Faldo juga melihat strategi Gibran dalam mengatur waktu yang tepat untuk mengobrol dengan warga. Bahkan, kata Faldo, kakak dari Ketua Umum Partai Solidaritas Indonesia (PSI) Kaesang Pangarep itu tahu barang-barang apa saja yang harus dibawa saat blusukan. ""Dalam waktu tertentu, saya belajar blusukan dari beliau. Cara mengatur flow-nya, cara apa yang dibawa,"" jelas Faldo. ""Saya belajar cara beliau berjalan, cara beliau melihat, kalau ada masalah, 'Ibu masalahnya gini', gestur (tubuhnya), saya belajar dari beliau,"" tambah dia. Baca juga: Faldo Maldini Ungkap Pertemuan dengan Jokowi, Tanya Cara Menangi Pilkada Oleh sebab itu, ke depan, Faldo menyebut akan berkolaborasi bersama Gibran di Kota Tangerang. ""Intinya saya belajar banyak proses blusukan dari beliau dan ya mungkin akan ada lagi kejutan-kejutan baru dari Faldo dan Gibran di Tangerang,"" ucap dia. Diketahui, pada Pilkada Kota Tangerang 2024, Faldo berpasangan dengan politikus Partai Nasdem Muhammad Fadlin Akbar. Keduanya diusung oleh Gerindra, Nasdem, PAN, PSI, Perindo, dan Garuda. Selain Faldo-Fadlin, ada dua bakal pasangan calon lainnya pada Pilkada Kota Tangerang 2024. Keduanya yakni, Sachrudin-Maryono Hasan dan Ahmad Amrullah-Muhammad Bonnie Mufidjar.",https://megapolitan.kompas.com/read/2024/09/09/08513871/faldo-maldini-gibran-itu-jago-jangan-remehkan-orang-menang-pemilu
[HOAKS] Video Pose Duduk Harimau Mirip Manusia,Cek fakta,Hoaks atau Fakta,"Berita Viral, Hoaks atau Fakta?",2024-09-09 08:48:00,Tim Cek Fakta,Non Advertorial,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar. KOMPAS.com - Beredar video dalam unggahan media sosial yang menampilkan harimau dengan pose duduknya yang menyerupai manusia. Ketika duduk, kaki belakang harimau dalam video ditekuk kemudian kaki depannya berpangku pada kaki depan. Berdasarkan penelusuran Tim Cek Fakta Kompas.com, video tersebut merupakan konten manipulatif. Video pose duduk harimau mirip manusia disebarkan oleh akun Facebook ini, ini, ini, dan ini. Berikut narasi yang ditulis salah satu akun: Harimau duduk dengan posisi yang unik akun Facebook Tangkapan layar konten manipulatif di sebuah akun Facebook, menampilkan pose duduk harimau mirip manusia. Tim Cek Fakta Kompas.com mengambil tangkapan layar gambar, lalu menggunakan metode reverse image search untuk menelusuri jejak digitalnya. Hasil pencarian di Google Lens mengarahkan ke video serupa di kanal YouTube ini, yang diunggah pada 7 Juli 2024. Pada bagian kanan bawah video terera watermark KLING AI yang tertulis dalam aksara Mandarin. KLING AI merupakan platform untuk membuat gambar dan video dengan metode AI generatif. Lighthouse Journalism mengecek video serupa dengan Itisaar.ai, detektor AI yang dibuat bekerja sama dengan Institut Teknologi Jodhpur. Video yang beredar terindikasi sebagai video manipulatif yang dibuat dengan AI. Video pose duduk harimau mirip manusia merupakan konten manipulatif berbasis AI. Video AI dibuat dengan platform KLING AI.",https://www.kompas.com/cekfakta/read/2024/09/09/084800382/-hoaks-video-pose-duduk-harimau-mirip-manusia
"Kaget Ronal Surapradja Maju Pilkada, Tora Sudiro: Semoga Bisa Berikan yang Terbaik",Hype,Belum ditentukan,Bukan topik pilihan,2024-09-09 08:46:00,"Revi C. Rantung, Dian Maharani",Non Advertorial,"JAKARTA, KOMPAS.com- Aktor Tora Sudiro mengaku sempat kaget dengan keputusan artis dan penyiar Ronal Surapradja maju sebagai bakal calon wakil gubernur Jawa Barat. Diketahui, Ronal dan Tora merupakan satu genk motor The Prediksi.  ""Kaget sih sempat, ya gitu lah,"" ujar Tora Sudiro saat ditemui di daerah Pejaten, Jakarta Selatan, baru-baru ini.   Kendati begitu, Tora hanya bisa memberikan semangat kepada rekannya tersebut maju dalam ajang kontestasi.  ""Ya semoga Ronal bisa memberikan yang terbaik,"" ucap Tora. Baca juga:  Ronal Surapradja Ungkap Kesiapan Jadi Bacalon Wagub Jabar hingga Vakum dari Hiburan    Tak hanya Ronal, Tora juga memberikan semangat untuk para rekan artis yang turut serta mengikuti ajang Pilkada 2024 ini.   ""Banyak teman artis di Pilkada Serentak kayak Jeje Govinda, Farhan dan lain-lain. Semoga mereka bisa memberikan yang terbaik,"" tutur Tora.    Sebagai informasi, Ronal Surapradja maju sebagai cawagub Jawa Barat mendapingi Jeje Wiradinata sebagai calon Gubernur Jawa Barat yang diusung oleh PDI-P. Baca juga: Jadi Bakal Calon Wagub Jabar, Ronal Surapradja Vakum Sementara dari Dunia Hiburan  Dalam wawancara dengan Kompas.com, Ronal mengaku kesiapannya maju sebagai bakal calon wakil Gubernur Jawa Barat.   Ronal mengaku mampu mengemban tugas tersebut andai terpilih.  ""Gini, saya pun udah ikut politik ketika Pileg tahun lalu. Jadi udah sekitar 1 tahun aku belajar politik, sudah terjun ke politik praktis dengan segala dinamikanya,"" kata Ronal Surapradja via telepon.   ""Ilmu makin nambah, bagaimana cara negosiasi, gimana caranya bikin jaringan, gimana caranya mempengaruhi orang dan sebagainya,"" tambah Ronal.",https://www.kompas.com/hype/read/2024/09/09/084656966/kaget-ronal-surapradja-maju-pilkada-tora-sudiro-semoga-bisa-berikan-yang
"Profil Puput Novel, Eks Penyanyi Cilik yang Meninggal Dunia di Usia 50 Tahun",Tren,Belum ditentukan,Bukan topik pilihan,2024-09-09 08:45:00,"Diva Lufiana Putri, Ahmad Naufal Dzulfaroh",Non Advertorial,"KOMPAS.com - Penyanyi dan pemeran Puput Novel meninggal dunia pada usia 50 tahun di Rumah Sakit MMC Jakarta, Minggu (8/9/2024) petang. Kabar tersebut dibagikan oleh sepupunya, Alblen Fabe, yang mengungkapkan bahwa Puput menderita sakit hingga harus dibawa ke rumah sakit. Kendati demikian, Alblen enggan merinci penyakit yang diderita oleh Puput Novel. ""Jadi di sini saya tidak mau mengklasifikasikan atau mempublikasikan apa penyakitnya, yang pasti Puput sakit, iya dia ada sakit,"" kata Alblen saat dihubungi Kompas.com, Minggu. Alblen mengaku terakhir kali berkomunikasi dengan Puput Novel melalui sambungan telepon video. Namun, saat itu, pelantun lagu Kemarin Lusa tersebut tampak sudah tidak sadarkan diri. ""Kondisinya semakin lama semakin drop mungkin kecapekan karena dia banyak kegiatan atau apa saya kurang paham,"" kata Alblen. Lantas, bagaimana profil Puput Novel? Baca juga: Profil Noriko Ohara, Pengisi Suara Nobita yang Meninggal Dunia  Puput Novel merupakan penyanyi yang sudah memulai karier di industri hiburan Indonesia sejak 1970-an. Pemilik nama lengkap Putri Zizi Novianti itu lahir pada 31 Agustus 1974 dan mengembuskan napas terakhir pada 8 September lalu. Puput yang memiliki darah seni dari orangtua mulai terjun ke dunia hiburan sebagai penyanyi sejak masih berusia empat tahun. Harian Kompas, 9 Januari 1994 memberitakan, ""Novel"" merupakan nama ayah Puput yang sudah berpisah dengan ibunya. Sebenarnya, Puput tak lagi memakai nama Novel saat berusia 19 tahun. Namun, publik sudah terlanjur mengenalnya dengan nama Puput Novel yang tenar sejak era 1970-an. Sepanjang kariernya, Puput telah menghasilkan total 36 album rekaman yang terdiri dari 28 album saat kecil serta delapan album remaja dan dewasa. Sejumlah album yang pernah dirilis, seperti Mama, Kau Idolaku, Cinderella, dan Anak Mami. Baca juga: Puput Novel Meninggal Dunia karena Sakit",https://www.kompas.com/tren/read/2024/09/09/084500165/profil-puput-novel-eks-penyanyi-cilik-yang-meninggal-dunia-di-usia-50-tahun
Lantai 2 Pasar Tradisional Pasrepan Pasuruan Terbakar,Regional,Belum ditentukan,Bukan topik pilihan,2024-09-09 08:42:00,"Moh. Anas, Andi Hartik",Non Advertorial,"PASURUAN, KOMPAS.com - Pasar Pasrepan, Kabupaten Pasuruan, Jawa Timur, terbakar pada Senin (9/9/2024) pagi. Kobaran api melahap hampir semua bangunan lantai dua. Api dapat dipadamkan setelah petugas dari Badan Penanggulangan Bencana Daerah (BPBD) Kabupaten Pasuruan datang ke lokasi melakukan pemadaman dan pembasahan. Menurut sejumlah pedagang, api menjalar sangat cepat di lantai dua. Tidak diketahui pasti titik munculnya api. Dalam 30 menit, api sudah meluas di lantai dua. ""Ya api mendadak langsung besar dan membakar stan di lantai 2,"" kata Mas'ud, salah satu pedagang, Senin. Baca juga: Viral, Baku Hantam di Magelang, Tersangka Penjual Sarung asal Pasuruan Sementara itu, aparat Polsek Pasrepan bersama petugas BPBD Pasuruan mengamankan area kebakaran agar tidak semakin menjalar. Polisi masih mengumpulkan keterangan dari beberapa saksi untuk mengetahui penyebab kebakaran. ""Api sudah bisa dikendalikan, ini kami masih melakukan pembasahan agar tidak menjalar ke lokasi lainnya,"" kata Kapolsek Pasrepan Ajun Komisaris Polisi (AKP) Slamet Wahyudi.",https://surabaya.kompas.com/read/2024/09/09/084227878/lantai-2-pasar-tradisional-pasrepan-pasuruan-terbakar
